assoc_id_key,assoc,pov_name,pov_id_key
AS040020,Ela Ela Phuanwo,Namicocoro [Meitor],PV040601021
AS040004,Enhumua Osulo,Enhumua [Nhoela],PV040603005
AS040005,Etxaia Wuapua Atxo,Muliquela [Nhoela],PV040601036
AS040008,Macucuni de Muterela,Muterela [Namanda],PV040601029
AS040002,Mahi Orera,Manla [Nhoela],PV040601054
AS040014,Marelio Anipwanha,Simoco [Namanda],PV040601005
AS040021,Muhiniwoke,Navagane [Mugudu],PV040601012
AS040019,Nanipura,Mulumassi [Meitor],PV040601035
AS040001,Ohaua Omale,Emuara [Malalo],PV041501014
AS040001,Ohaua Omale,Kucune [Malalo],PV041501013
AS040001,Ohaua Omale,Rule [Malalo],PV041501012
AS040001,Ohaua Omale,Musseceia [Malalo],PV041501011
AS040001,Ohaua Omale,Mampupuine [Malalo],PV041501010
AS040001,Ohaua Omale,Micorotxe [Malalo],PV041501009
AS040001,Ohaua Omale,Eulane [Malalo],PV041501008
AS040001,Ohaua Omale,Nola [Malalo],PV041501007
AS040001,Ohaua Omale,Crupura [Malalo],PV041501006
AS040001,Ohaua Omale,Muthucunuco [Malalo],PV041501005
AS040001,Ohaua Omale,Namunhoquerene 1 [Malalo],PV041501004
AS040001,Ohaua Omale,Namunhoquerene 2 [Malalo],PV041501003
AS040001,Ohaua Omale,Marrogane 1 [Malalo],PV041501002
AS040001,Ohaua Omale,Marrogane 2 [Malalo],PV041501001
AS040022,Okhaviheriua Orera,Meitor Sede [Meitor],PV040601049
AS040018,Olima Orera,Ligama [Mugudu],PV040601059
AS040012,Omaliha Etala,Mapita [Mucade],PV040601053
AS040012,Omaliha Etala,Mucade [Mucade],PV040601043
AS040003,Ouana Ni Ohaua,Napara  [Nhoela],PV040601010
AS040017,Ovaha Womala,Mugudo Sede [Mugudu],PV040601040
AS040016,Ovucula Ohawa,Mucoe [Namanda],PV040601042
AS040011,Wileva,Tchivitchivi [Mucade],PV040601002
AS040009,Wiwanana Omaliha Mahoho Mmawani,Ambrosio [Mucade],PV040601001
AS040009,Wiwanana Omaliha Mahoho Mmawani,Macocue [Mucade],PV040601057
AS040010,Wiwanana Orera,Comone [Namanda],PV040601062
AS040010,Wiwanana Orera,Namanda [Namanda],PV040601009
